snr_db,drop_index,selected_ssb,subcarrier,raw_power,normalized_power
-2.0,0,3,48,1.0737098435788173,0.9999999999999996
-2.0,0,3,49,1.0738961979865131,1.0
-2.0,0,3,50,1.0740737594856338,1.0000000000000004
-2.0,0,3,51,1.0742425069481363,0.999999999999999
-2.0,0,3,52,1.0744024202947584,0.9999999999999994
-2.0,0,3,53,1.0745534804974113,0.9999999999999998
-2.0,0,3,54,1.0746956695814425,0.9999999999999997
-2.0,0,3,55,1.074828970627772,1.0000000000000002
-2.0,0,3,56,1.0749533677749097,1.0000000000000002
-2.0,0,3,57,1.0750688462208382,0.9999999999999998
-2.0,0,3,58,1.075175392224777,1.0000000000000004
-2.0,0,3,59,1.0752729931088185,0.9999999999999997
-2.0,0,3,60,1.0753616372594315,1.0000000000000004
-2.0,0,3,61,1.0754413141288504,0.9999999999999998
-2.0,0,3,62,1.0755120142363228,0.9999999999999999
-2.0,0,3,63,1.0755737291692442,1.0000000000000002
-2.0,0,3,64,1.075626451584155,1.0
-2.0,0,3,65,1.0756701752076137,0.9999999999999994
-2.0,0,3,66,1.0757048948369476,0.9999999999999997
-2.0,0,3,67,1.0757306063408667,0.9999999999999999
-2.0,0,3,68,1.0757473066599608,1.0000000000000002
-2.0,0,3,69,1.075754993807057,1.0000000000000004
-2.0,0,3,70,1.0757536668674645,1.0000000000000002
-2.0,0,3,71,1.0757433259990736,0.9999999999999998
-2.0,0,3,72,1.0757239724323446,0.9999999999999997
-2.0,0,3,73,1.075695608470158,1.0000000000000004
-2.0,0,3,74,1.075658237487542,1.0
-2.0,0,3,75,1.0756118639312715,0.9999999999999994
-2.0,0,3,76,1.075556493319333,1.0000000000000002
-2.0,0,3,77,1.075492132240278,1.0000000000000002
-2.0,0,3,78,1.0754187883524302,1.0000000000000002
-2.0,0,3,79,1.0753364703829786,0.9999999999999999
-2.0,0,3,80,1.075245188126939,1.0000000000000002
-2.0,0,3,81,1.075144952445987,0.9999999999999992
-2.0,0,3,82,1.0750357752671647,1.0000000000000009
-2.0,0,3,83,1.0749176695814668,1.0000000000000002
-2.0,0,3,84,1.0747906494422879,1.0000000000000002
-2.0,0,3,85,1.074654729963755,0.9999999999999993
-2.0,0,3,86,1.0745099273189245,1.0000000000000002
-2.0,0,3,87,1.0743562587378648,1.0
-2.0,0,3,88,1.0741937425056012,1.0000000000000002
-2.0,0,3,89,1.0740223979599381,1.0000000000000002
-2.0,0,3,90,1.0738422454891643,1.0000000000000002
-2.0,0,3,91,1.0736533065296217,1.0000000000000009
-2.0,0,3,92,1.0734556035631573,1.0000000000000004
-2.0,0,3,93,1.0732491601144474,0.9999999999999998
-2.0,0,3,94,1.0730340007481978,0.9999999999999994
-2.0,0,3,95,1.07281015106622,0.9999999999999994
-2.0,0,3,96,1.0725776377043894,0.9999999999999993
-2.0,0,3,97,1.072336488329469,1.0
-2.0,0,3,98,1.0720867316358247,1.0
-2.0,0,3,99,1.0718283973420035,1.0000000000000002
-2.0,0,3,100,1.0715615161872059,1.0
-2.0,0,3,101,1.0712861199276176,1.0
-2.0,0,3,102,1.0710022413326417,0.9999999999999997
-2.0,0,3,103,1.070709914180989,1.0
-2.0,0,3,104,1.0704091732566705,0.9999999999999993
-2.0,0,3,105,1.0701000543448462,1.0
-2.0,0,3,106,1.069782594227577,1.0000000000000002
-2.0,0,3,107,1.0694568306794423,0.9999999999999999
-2.0,0,3,108,1.0691228024630448,1.0
-2.0,0,3,109,1.0687805493244034,0.9999999999999992
-2.0,0,3,110,1.0684301119882171,1.0000000000000004
-2.0,0,3,111,1.0680715321530279,1.0000000000000007
-2.0,0,3,112,1.0677048524862462,1.0000000000000004
-2.0,0,3,113,1.0673301166190896,0.9999999999999996
-2.0,0,3,114,1.0669473691413751,1.0000000000000002
-2.0,0,3,115,1.0665566555962278,0.9999999999999997
-2.0,0,3,116,1.0661580224746496,1.0000000000000007
-2.0,0,3,117,1.0657515172099983,0.9999999999999996
-2.0,0,3,118,1.0653371881723324,1.0000000000000002
